"Data captured on:"	"25.08.2023 17:32:58"
"Gain setting:"	1
"Averaging frame frequency:"	0
"Edge width rising [s]:"	-1.503310E-3
"Edge width falling [s]:"	2.120636E-6


"Time [s]"	"Amplitude"
5.789000E-3	0.000000E+0
5.790000E-3	0.000000E+0
5.791000E-3	0.000000E+0
5.792000E-3	0.000000E+0
5.793000E-3	0.000000E+0
5.794000E-3	0.000000E+0
5.795000E-3	0.000000E+0
5.796000E-3	0.000000E+0
5.797000E-3	0.000000E+0
5.798000E-3	0.000000E+0
5.799000E-3	0.000000E+0
5.800000E-3	0.000000E+0
5.801000E-3	0.000000E+0
5.802000E-3	0.000000E+0
5.803000E-3	0.000000E+0
5.804000E-3	0.000000E+0
5.805000E-3	0.000000E+0
5.806000E-3	0.000000E+0
5.807000E-3	0.000000E+0
5.808000E-3	0.000000E+0
5.809000E-3	0.000000E+0
5.810000E-3	0.000000E+0
5.811000E-3	0.000000E+0
5.812000E-3	0.000000E+0
5.813000E-3	0.000000E+0
5.814000E-3	0.000000E+0
5.815000E-3	0.000000E+0
5.816000E-3	0.000000E+0
5.817000E-3	0.000000E+0
5.818000E-3	0.000000E+0
5.819000E-3	0.000000E+0
5.820000E-3	0.000000E+0
5.821000E-3	0.000000E+0
5.822000E-3	0.000000E+0
5.823000E-3	0.000000E+0
5.824000E-3	0.000000E+0
5.825000E-3	0.000000E+0
5.826000E-3	0.000000E+0
5.827000E-3	0.000000E+0
5.828000E-3	0.000000E+0
5.829000E-3	0.000000E+0
5.830000E-3	0.000000E+0
5.831000E-3	0.000000E+0
5.832000E-3	0.000000E+0
5.833000E-3	0.000000E+0
5.834000E-3	0.000000E+0
5.835000E-3	0.000000E+0
5.836000E-3	0.000000E+0
5.837000E-3	0.000000E+0
5.838000E-3	0.000000E+0
5.839000E-3	0.000000E+0
5.840000E-3	0.000000E+0
5.841000E-3	0.000000E+0
5.842000E-3	0.000000E+0
5.843000E-3	0.000000E+0
5.844000E-3	0.000000E+0
5.845000E-3	0.000000E+0
5.846000E-3	0.000000E+0
5.847000E-3	0.000000E+0
5.848000E-3	0.000000E+0
5.849000E-3	0.000000E+0
5.850000E-3	0.000000E+0
5.851000E-3	0.000000E+0
5.852000E-3	0.000000E+0
5.853000E-3	0.000000E+0
5.854000E-3	0.000000E+0
5.855000E-3	0.000000E+0
5.856000E-3	0.000000E+0
5.857000E-3	0.000000E+0
5.858000E-3	0.000000E+0
5.859000E-3	0.000000E+0
5.860000E-3	0.000000E+0
5.861000E-3	0.000000E+0
5.862000E-3	0.000000E+0
5.863000E-3	0.000000E+0
5.864000E-3	0.000000E+0
5.865000E-3	0.000000E+0
5.866000E-3	0.000000E+0
5.867000E-3	0.000000E+0
5.868000E-3	0.000000E+0
5.869000E-3	0.000000E+0
5.870000E-3	0.000000E+0
5.871000E-3	0.000000E+0
5.872000E-3	0.000000E+0
5.873000E-3	0.000000E+0
5.874000E-3	0.000000E+0
5.875000E-3	0.000000E+0
5.876000E-3	0.000000E+0
5.877000E-3	0.000000E+0
5.878000E-3	0.000000E+0
5.879000E-3	0.000000E+0
5.880000E-3	0.000000E+0
5.881000E-3	0.000000E+0
5.882000E-3	0.000000E+0
5.883000E-3	0.000000E+0
5.884000E-3	0.000000E+0
5.885000E-3	0.000000E+0
5.886000E-3	0.000000E+0
5.887000E-3	0.000000E+0
5.888000E-3	0.000000E+0
5.889000E-3	0.000000E+0
5.890000E-3	0.000000E+0
5.891000E-3	0.000000E+0
5.892000E-3	0.000000E+0
5.893000E-3	0.000000E+0
5.894000E-3	0.000000E+0
5.895000E-3	0.000000E+0
5.896000E-3	0.000000E+0
5.897000E-3	0.000000E+0
5.898000E-3	0.000000E+0
5.899000E-3	0.000000E+0
5.900000E-3	0.000000E+0
5.901000E-3	0.000000E+0
5.902000E-3	0.000000E+0
5.903000E-3	0.000000E+0
5.904000E-3	0.000000E+0
5.905000E-3	7.629395E-4
5.906000E-3	0.000000E+0
5.907000E-3	0.000000E+0
5.908000E-3	0.000000E+0
5.909000E-3	0.000000E+0
5.910000E-3	0.000000E+0
5.911000E-3	0.000000E+0
5.912000E-3	0.000000E+0
5.913000E-3	0.000000E+0
5.914000E-3	0.000000E+0
5.915000E-3	0.000000E+0
5.916000E-3	0.000000E+0
5.917000E-3	0.000000E+0
5.918000E-3	0.000000E+0
5.919000E-3	0.000000E+0
5.920000E-3	0.000000E+0
5.921000E-3	0.000000E+0
5.922000E-3	0.000000E+0
5.923000E-3	0.000000E+0
5.924000E-3	0.000000E+0
5.925000E-3	0.000000E+0
5.926000E-3	0.000000E+0
5.927000E-3	0.000000E+0
5.928000E-3	0.000000E+0
5.929000E-3	0.000000E+0
5.930000E-3	0.000000E+0
5.931000E-3	0.000000E+0
5.932000E-3	0.000000E+0
5.933000E-3	0.000000E+0
5.934000E-3	0.000000E+0
5.935000E-3	0.000000E+0
5.936000E-3	0.000000E+0
5.937000E-3	0.000000E+0
5.938000E-3	0.000000E+0
5.939000E-3	0.000000E+0
5.940000E-3	0.000000E+0
5.941000E-3	0.000000E+0
5.942000E-3	0.000000E+0
5.943000E-3	0.000000E+0
5.944000E-3	0.000000E+0
5.945000E-3	0.000000E+0
5.946000E-3	0.000000E+0
5.947000E-3	0.000000E+0
5.948000E-3	0.000000E+0
5.949000E-3	0.000000E+0
5.950000E-3	0.000000E+0
5.951000E-3	0.000000E+0
5.952000E-3	0.000000E+0
5.953000E-3	0.000000E+0
5.954000E-3	0.000000E+0
5.955000E-3	0.000000E+0
5.956000E-3	0.000000E+0
5.957000E-3	0.000000E+0
5.958000E-3	0.000000E+0
5.959000E-3	0.000000E+0
5.960000E-3	0.000000E+0
5.961000E-3	0.000000E+0
5.962000E-3	0.000000E+0
5.963000E-3	0.000000E+0
5.964000E-3	0.000000E+0
5.965000E-3	0.000000E+0
5.966000E-3	0.000000E+0
5.967000E-3	0.000000E+0
5.968000E-3	0.000000E+0
5.969000E-3	0.000000E+0
5.970000E-3	0.000000E+0
5.971000E-3	0.000000E+0
5.972000E-3	0.000000E+0
5.973000E-3	0.000000E+0
5.974000E-3	0.000000E+0
5.975000E-3	0.000000E+0
5.976000E-3	0.000000E+0
5.977000E-3	0.000000E+0
5.978000E-3	0.000000E+0
5.979000E-3	0.000000E+0
5.980000E-3	0.000000E+0
5.981000E-3	0.000000E+0
5.982000E-3	0.000000E+0
5.983000E-3	0.000000E+0
5.984000E-3	0.000000E+0
5.985000E-3	0.000000E+0
5.986000E-3	0.000000E+0
5.987000E-3	0.000000E+0
5.988000E-3	0.000000E+0
5.989000E-3	0.000000E+0
5.990000E-3	0.000000E+0
5.991000E-3	0.000000E+0
5.992000E-3	0.000000E+0
5.993000E-3	0.000000E+0
5.994000E-3	0.000000E+0
5.995000E-3	0.000000E+0
5.996000E-3	0.000000E+0
5.997000E-3	0.000000E+0
5.998000E-3	0.000000E+0
5.999000E-3	0.000000E+0
6.000000E-3	0.000000E+0
6.001000E-3	0.000000E+0
6.002000E-3	0.000000E+0
6.003000E-3	0.000000E+0
6.004000E-3	0.000000E+0
6.005000E-3	0.000000E+0
6.006000E-3	0.000000E+0
6.007000E-3	0.000000E+0
6.008000E-3	0.000000E+0
6.009000E-3	0.000000E+0
6.010000E-3	0.000000E+0
6.011000E-3	0.000000E+0
6.012000E-3	0.000000E+0
6.013000E-3	0.000000E+0
6.014000E-3	0.000000E+0
6.015000E-3	0.000000E+0
6.016000E-3	0.000000E+0
6.017000E-3	0.000000E+0
6.018000E-3	0.000000E+0
6.019000E-3	0.000000E+0
6.020000E-3	0.000000E+0
6.021000E-3	0.000000E+0
6.022000E-3	0.000000E+0
6.023000E-3	0.000000E+0
6.024000E-3	0.000000E+0
6.025000E-3	0.000000E+0
6.026000E-3	0.000000E+0
6.027000E-3	0.000000E+0
6.028000E-3	0.000000E+0
6.029000E-3	0.000000E+0
6.030000E-3	0.000000E+0
6.031000E-3	0.000000E+0
6.032000E-3	0.000000E+0
6.033000E-3	0.000000E+0
6.034000E-3	0.000000E+0
6.035000E-3	0.000000E+0
6.036000E-3	0.000000E+0
6.037000E-3	0.000000E+0
6.038000E-3	0.000000E+0
6.039000E-3	0.000000E+0
6.040000E-3	0.000000E+0
6.041000E-3	0.000000E+0
6.042000E-3	0.000000E+0
6.043000E-3	0.000000E+0
6.044000E-3	0.000000E+0
6.045000E-3	0.000000E+0
6.046000E-3	0.000000E+0
6.047000E-3	0.000000E+0
6.048000E-3	0.000000E+0
6.049000E-3	0.000000E+0
6.050000E-3	0.000000E+0
6.051000E-3	0.000000E+0
6.052000E-3	1.373291E-4
6.053000E-3	0.000000E+0
6.054000E-3	0.000000E+0
6.055000E-3	0.000000E+0
6.056000E-3	0.000000E+0
6.057000E-3	0.000000E+0
6.058000E-3	0.000000E+0
6.059000E-3	0.000000E+0
6.060000E-3	0.000000E+0
6.061000E-3	0.000000E+0
6.062000E-3	0.000000E+0
6.063000E-3	0.000000E+0
6.064000E-3	0.000000E+0
6.065000E-3	0.000000E+0
6.066000E-3	0.000000E+0
6.067000E-3	0.000000E+0
6.068000E-3	0.000000E+0
6.069000E-3	0.000000E+0
6.070000E-3	0.000000E+0
6.071000E-3	0.000000E+0
6.072000E-3	0.000000E+0
6.073000E-3	6.103516E-5
6.074000E-3	2.899170E-4
6.075000E-3	0.000000E+0
6.076000E-3	0.000000E+0
6.077000E-3	0.000000E+0
6.078000E-3	0.000000E+0
6.079000E-3	0.000000E+0
6.080000E-3	0.000000E+0
6.081000E-3	0.000000E+0
6.082000E-3	0.000000E+0
6.083000E-3	0.000000E+0
6.084000E-3	9.613037E-4
6.085000E-3	0.000000E+0
6.086000E-3	0.000000E+0
6.087000E-3	0.000000E+0
6.088000E-3	0.000000E+0
6.089000E-3	0.000000E+0
6.090000E-3	0.000000E+0
6.091000E-3	2.441406E-4
6.092000E-3	0.000000E+0
6.093000E-3	0.000000E+0
6.094000E-3	0.000000E+0
6.095000E-3	0.000000E+0
6.096000E-3	0.000000E+0
6.097000E-3	0.000000E+0
6.098000E-3	0.000000E+0
6.099000E-3	0.000000E+0
6.100000E-3	0.000000E+0
6.101000E-3	0.000000E+0
6.102000E-3	0.000000E+0
6.103000E-3	0.000000E+0
6.104000E-3	7.019043E-4
6.105000E-3	7.934570E-4
6.106000E-3	0.000000E+0
6.107000E-3	0.000000E+0
6.108000E-3	0.000000E+0
6.109000E-3	0.000000E+0
6.110000E-3	0.000000E+0
6.111000E-3	0.000000E+0
6.112000E-3	0.000000E+0
6.113000E-3	0.000000E+0
6.114000E-3	0.000000E+0
6.115000E-3	0.000000E+0
6.116000E-3	0.000000E+0
6.117000E-3	0.000000E+0
6.118000E-3	0.000000E+0
6.119000E-3	0.000000E+0
6.120000E-3	0.000000E+0
6.121000E-3	0.000000E+0
6.122000E-3	0.000000E+0
6.123000E-3	0.000000E+0
6.124000E-3	0.000000E+0
6.125000E-3	0.000000E+0
6.126000E-3	0.000000E+0
6.127000E-3	0.000000E+0
6.128000E-3	0.000000E+0
6.129000E-3	0.000000E+0
6.130000E-3	0.000000E+0
6.131000E-3	0.000000E+0
6.132000E-3	0.000000E+0
6.133000E-3	5.950928E-4
6.134000E-3	1.678467E-4
6.135000E-3	0.000000E+0
6.136000E-3	0.000000E+0
6.137000E-3	0.000000E+0
6.138000E-3	0.000000E+0
6.139000E-3	0.000000E+0
6.140000E-3	0.000000E+0
6.141000E-3	0.000000E+0
6.142000E-3	0.000000E+0
6.143000E-3	0.000000E+0
6.144000E-3	0.000000E+0
6.145000E-3	0.000000E+0
6.146000E-3	0.000000E+0
6.147000E-3	0.000000E+0
6.148000E-3	0.000000E+0
6.149000E-3	0.000000E+0
6.150000E-3	0.000000E+0
6.151000E-3	0.000000E+0
6.152000E-3	0.000000E+0
6.153000E-3	0.000000E+0
6.154000E-3	0.000000E+0
6.155000E-3	0.000000E+0
6.156000E-3	0.000000E+0
6.157000E-3	0.000000E+0
6.158000E-3	0.000000E+0
6.159000E-3	0.000000E+0
6.160000E-3	0.000000E+0
6.161000E-3	0.000000E+0
6.162000E-3	0.000000E+0
6.163000E-3	0.000000E+0
6.164000E-3	0.000000E+0
6.165000E-3	0.000000E+0
6.166000E-3	0.000000E+0
6.167000E-3	0.000000E+0
6.168000E-3	0.000000E+0
6.169000E-3	0.000000E+0
6.170000E-3	0.000000E+0
6.171000E-3	0.000000E+0
6.172000E-3	0.000000E+0
6.173000E-3	0.000000E+0
6.174000E-3	0.000000E+0
6.175000E-3	0.000000E+0
6.176000E-3	0.000000E+0
6.177000E-3	0.000000E+0
6.178000E-3	0.000000E+0
6.179000E-3	0.000000E+0
6.180000E-3	0.000000E+0
6.181000E-3	0.000000E+0
6.182000E-3	0.000000E+0
6.183000E-3	0.000000E+0
6.184000E-3	0.000000E+0
6.185000E-3	0.000000E+0
6.186000E-3	0.000000E+0
6.187000E-3	0.000000E+0
6.188000E-3	0.000000E+0
6.189000E-3	0.000000E+0
6.190000E-3	0.000000E+0
6.191000E-3	0.000000E+0
6.192000E-3	0.000000E+0
6.193000E-3	0.000000E+0
6.194000E-3	0.000000E+0
6.195000E-3	0.000000E+0
6.196000E-3	0.000000E+0
6.197000E-3	0.000000E+0
6.198000E-3	0.000000E+0
6.199000E-3	0.000000E+0
6.200000E-3	0.000000E+0
6.201000E-3	0.000000E+0
6.202000E-3	0.000000E+0
6.203000E-3	0.000000E+0
6.204000E-3	0.000000E+0
6.205000E-3	0.000000E+0
6.206000E-3	0.000000E+0
6.207000E-3	0.000000E+0
6.208000E-3	0.000000E+0
6.209000E-3	0.000000E+0
6.210000E-3	0.000000E+0
6.211000E-3	0.000000E+0
6.212000E-3	0.000000E+0
6.213000E-3	0.000000E+0
6.214000E-3	0.000000E+0
6.215000E-3	0.000000E+0
6.216000E-3	0.000000E+0
6.217000E-3	0.000000E+0
6.218000E-3	0.000000E+0
6.219000E-3	0.000000E+0
6.220000E-3	0.000000E+0
6.221000E-3	0.000000E+0
6.222000E-3	0.000000E+0
6.223000E-3	0.000000E+0
6.224000E-3	0.000000E+0
6.225000E-3	0.000000E+0
6.226000E-3	0.000000E+0
6.227000E-3	0.000000E+0
6.228000E-3	0.000000E+0
6.229000E-3	0.000000E+0
6.230000E-3	0.000000E+0
6.231000E-3	0.000000E+0
6.232000E-3	0.000000E+0
6.233000E-3	0.000000E+0
6.234000E-3	0.000000E+0
6.235000E-3	0.000000E+0
6.236000E-3	0.000000E+0
6.237000E-3	0.000000E+0
6.238000E-3	0.000000E+0
6.239000E-3	0.000000E+0
